country_code,year,reporting_pop,region_code,welfare_type
ABW,1981,60563,LCN,income
ABW,1982,61276,LCN,income
ABW,1983,62228,LCN,income
ABW,1984,62901,LCN,income
ABW,1985,61728,LCN,income
ABW,1986,59931,LCN,income
ABW,1987,59159,LCN,income
ABW,1988,59331,LCN,income
ABW,1989,60443,LCN,income
ABW,1990,62753,LCN,income
ABW,1991,65896,LCN,consumption
ABW,1992,69005,LCN,consumption
ABW,1993,73685,LCN,consumption
ABW,1994,77595,LCN,income
ABW,1995,79805,LCN,income
ABW,1996,83021,LCN,income
ABW,1997,86301,LCN,income
ABW,1998,88451,LCN,income
ABW,1999,89659,LCN,income
ABW,2000,90588,LCN,income
ABW,2001,91439,LCN,income
ABW,2002,92074,LCN,income
ABW,2003,93128,LCN,income
ABW,2004,95138,LCN,income
ABW,2005,97635,LCN,income
ABW,2006,99405,LCN,income
ABW,2007,100150,LCN,income
ABW,2008,100917,LCN,income
ABW,2009,101604,LCN,income
ABW,2010,101838,LCN,income
ABW,2011,102591,LCN,income
ABW,2012,104110,LCN,income
ABW,2013,105675,LCN,income
ABW,2014,106807,LCN,income
ABW,2015,107906,LCN,income
ABW,2016,108727,LCN,income
ABW,2017,108735,LCN,income
ABW,2018,108908,LCN,income
ABW,2019,109203,LCN,income
ABW,2020,108587,LCN,income
ABW,2021,107700,LCN,income
ABW,2022,107310,LCN,income
ABW,2023,107359,LCN,income
ABW,2024,107995,LCN,income
ABW,2025,108031,LCN,income
ABW,2026,108009,LCN,income
AFG,1981,11937581,MEA,consumption
AFG,1982,10991378,MEA,consumption
AFG,1983,10917982,MEA,consumption
AFG,1984,11190221,MEA,consumption
AFG,1985,11426852,MEA,consumption
AFG,1986,11420074,MEA,consumption
AFG,1987,11387818,MEA,consumption
AFG,1988,11523298,MEA,consumption
AFG,1989,11874088,MEA,consumption
AFG,1990,12045660,MEA,consumption
AFG,1991,12238879,MEA,consumption
AFG,1992,13278974,MEA,consumption
AFG,1993,14943172,MEA,consumption
AFG,1994,16250794,MEA,consumption
AFG,1995,17065836,MEA,consumption
AFG,1996,17763266,MEA,consumption
AFG,1997,18452091,MEA,consumption
AFG,1998,19159996,MEA,consumption
AFG,1999,19887785,MEA,consumption
AFG,2000,20130327,MEA,consumption
AFG,2001,20284307,MEA,consumption
AFG,2002,21378117,MEA,consumption
AFG,2003,22733049,MEA,consumption
AFG,2004,23560654,MEA,consumption
AFG,2005,24404567,MEA,consumption
AFG,2006,25424094,MEA,consumption
AFG,2007,25909852,MEA,consumption
AFG,2008,26482622,MEA,consumption
AFG,2009,27466101,MEA,consumption
